Rank_PTS,NAME,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,P/M
142,Zach Collins,SAS,25,63,20,43,22.9,11.6,4.5,8.7,51.8,0.9,2.3,37.4,1.7,2.3,76.1,1.8,4.5,6.4,2.9,2.0,0.6,0.8,3.2,25.6,9.0,0.0,-3.8
143,Bruce Brown,DEN,26,80,53,27,28.5,11.5,4.5,9.3,48.3,1.1,3.2,35.8,1.5,1.9,75.8,0.8,3.3,4.1,3.4,1.5,1.1,0.6,2.4,25.1,3.0,1.0,0.4
143,Max Strus,MIA,27,80,42,38,28.4,11.5,4.1,9.9,41.0,2.5,7.0,35.0,1.0,1.1,87.6,0.6,2.6,3.2,2.1,0.9,0.5,0.2,2.1,19.8,2.0,0.0,-1.8
145,Marcus Smart,BOS,29,61,43,18,32.1,11.5,4.1,9.9,41.5,1.9,5.6,33.6,1.4,1.9,74.6,0.8,2.4,3.1,6.3,2.3,1.5,0.4,2.8,28.0,6.0,0.0,3.9
146,Naz Reid,MIN,23,68,32,36,18.4,11.5,4.6,8.5,53.7,1.1,3.2,34.6,1.3,1.9,67.7,1.1,3.8,4.9,1.1,1.4,0.6,0.8,2.6,21.9,4.0,0.0,-1.9
148,Isaiah Stewart,DET,22,50,12,38,28.3,11.3,3.9,8.8,44.2,1.3,4.1,32.7,2.2,3.0,73.8,2.3,5.8,8.1,1.4,1.4,0.4,0.7,2.7,25.0,13.0,0.0,-4.5
149,Quentin Grimes,NYK,23,71,41,30,29.9,11.3,4.0,8.5,46.8,2.2,5.7,38.6,1.1,1.4,79.6,0.7,2.5,3.2,2.1,1.0,0.7,0.4,2.5,20.4,0.0,0.0,2.6
150,Rui Hachimura,LAL,25,63,38,25,23.3,11.2,4.5,9.3,48.6,0.8,2.5,31.9,1.4,1.9,73.9,0.8,3.7,4.5,0.9,0.8,0.3,0.4,1.1,19.3,2.0,0.0,-0.4
151,Marcus Morris Sr.,LAC,33,65,35,30,28.1,11.2,4.2,9.9,42.6,1.7,4.7,36.5,1.0,1.3,78.2,0.4,3.5,4.0,1.8,0.9,0.6,0.3,2.1,20.6,2.0,0.0,-0.2
152,Kyle Lowry,MIA,37,55,30,25,31.2,11.2,3.6,8.8,40.4,1.9,5.6,34.5,2.1,2.5,85.9,0.8,3.3,4.1,5.1,1.9,1.0,0.4,2.6,26.1,2.0,1.0,1.0
153,Corey Kispert,WAS,24,74,31,43,28.3,11.1,3.9,7.9,49.7,2.2,5.2,42.4,1.0,1.2,85.2,0.4,2.4,2.8,1.2,0.7,0.4,0.1,1.3,17.1,0.0,0.0,-1.7
154,Jeremy Sochan,SAS,20,56,15,41,26.0,11.0,4.5,9.9,45.3,0.6,2.4,24.6,1.4,2.1,69.8,1.7,3.6,5.3,2.5,1.7,0.8,0.4,2.5,22.9,2.0,0.0,-4.2
155,Mason Plumlee,LAC,33,79,28,51,26.0,10.8,4.2,6.1,68.0,0.0,0.0,0.0,2.5,4.0,63.6,2.9,6.0,8.9,3.1,1.5,0.6,0.6,2.7,28.2,23.0,0.0,-3.4
156,Jaylen Nowell,MIN,23,65,34,31,19.3,10.8,4.3,9.6,44.8,1.0,3.6,28.9,1.2,1.5,77.8,0.6,2.1,2.6,2.0,1.0,0.6,0.1,1.6,18.2,0.0,0.0,-0.1
157,Kentavious Caldwell-Pope,DEN,30,76,51,25,31.3,10.8,3.8,8.3,46.2,1.8,4.2,42.3,1.4,1.6,82.4,0.5,2.3,2.7,2.4,1.1,1.5,0.5,1.9,22.4,0.0,0.0,6.5
158,Ivica Zubac,LAC,26,76,43,33,28.5,10.8,4.3,6.8,63.4,0.0,0.0,0.0,2.2,3.1,69.7,3.1,6.8,9.9,1.0,1.5,0.4,1.3,2.9,27.7,27.0,0.0,-0.4
159,Talen Horton-Tucker,UTA,22,65,30,35,20.2,10.7,4.0,9.4,41.9,0.9,3.1,28.6,1.9,2.6,75.0,0.6,2.6,3.2,3.8,1.9,0.6,0.4,1.7,21.6,2.0,0.0,-0.1
162,Cam Thomas,BKN,21,57,30,27,16.6,10.6,3.5,8.0,44.1,0.9,2.3,38.3,2.6,3.1,86.8,0.1,1.5,1.7,1.4,1.1,0.4,0.1,1.0,15.0,0.0,0.0,-0.1
163,Moritz Wagner,ORL,26,57,27,30,19.5,10.5,3.5,6.9,50.0,0.9,2.9,31.3,2.7,3.2,84.1,1.2,3.3,4.5,1.5,1.2,0.6,0.2,2.4,19.6,3.0,0.0,-0.5
164,Grayson Allen,MIL,27,72,53,19,27.4,10.4,3.4,7.7,44.0,2.0,5.1,39.9,1.6,1.8,90.5,0.8,2.4,3.3,2.3,1.0,0.9,0.2,1.6,19.9,0.0,0.0,3.2
165,Killian Hayes,DET,21,76,16,60,28.3,10.3,4.0,10.7,37.7,1.1,3.8,28.0,1.2,1.5,82.1,0.4,2.5,2.9,6.2,2.3,1.4,0.4,2.9,26.0,6.0,0.0,-6.6
166,Tyus Jones,MEM,27,80,51,29,24.2,10.3,3.9,8.9,43.8,1.5,4.1,37.1,1.0,1.2,80.6,0.4,2.2,2.5,5.2,0.9,1.0,0.1,0.4,23.5,9.0,1.0,1.2
168,Monte Morris,WAS,27,62,28,34,27.4,10.3,4.0,8.3,48.0,1.3,3.3,38.2,1.0,1.2,83.1,0.4,3.0,3.4,5.3,1.0,0.7,0.2,1.2,24.0,2.0,0.0,0.1
169,Doug McDermott,SAS,31,64,19,45,20.5,10.2,3.7,8.2,45.7,1.9,4.7,41.3,0.8,1.1,75.7,0.4,1.8,2.2,1.4,0.9,0.2,0.1,1.8,14.9,0.0,0.0,-3.7
170,Malaki Branham,SAS,20,66,15,51,23.5,10.2,4.1,9.3,44.0,1.2,3.9,30.2,0.9,1.1,82.9,0.4,2.3,2.7,1.9,1.2,0.5,0.1,1.7,17.0,0.0,0.0,-5.5
171,Reggie Jackson,DEN,33,68,36,32,24.4,10.2,3.9,9.4,41.1,1.4,4.2,33.3,1.0,1.1,91.0,0.4,1.8,2.1,3.4,1.7,0.7,0.1,1.7,18.5,1.0,0.0,-1.2
172,Patrick Williams,CHI,21,82,40,42,28.3,10.2,3.8,8.3,46.4,1.4,3.4,41.5,1.1,1.3,85.7,1.0,3.0,4.0,1.2,1.2,0.9,0.9,1.8,20.7,1.0,0.0,-1.7
173,De'Anthony Melton,PHI,25,77,50,27,27.9,10.1,3.6,8.5,42.5,2.0,5.2,39.0,0.9,1.1,79.3,0.9,3.2,4.1,2.6,1.3,1.6,0.5,2.5,24.0,0.0,0.0,1.3
174,Aaron Nesmith,IND,23,73,30,43,24.9,10.1,3.5,8.1,42.7,1.6,4.3,36.6,1.6,1.9,83.8,0.8,2.9,3.8,1.3,1.0,0.8,0.5,3.2,19.3,1.0,0.0,-2.9
175,Josh Richardson,NOP,29,65,24,41,23.5,10.1,3.7,8.5,43.1,1.6,4.5,36.5,1.1,1.2,85.2,0.6,2.1,2.7,2.7,1.3,1.1,0.3,1.8,20.1,1.0,0.0,-2.5
177,Brandon Clarke,MEM,26,56,32,24,19.5,10.0,4.1,6.2,65.6,0.0,0.1,16.7,1.8,2.5,71.9,1.6,3.9,5.5,1.3,1.0,0.6,0.7,2.3,21.4,6.0,0.0,-0.3
178,Jonathan Kuminga,GSW,20,67,38,29,20.8,9.9,3.9,7.4,52.5,0.8,2.2,37.0,1.3,2.1,65.2,1.0,2.4,3.4,1.9,1.4,0.6,0.5,2.3,18.7,1.0,0.0,-0.8
179,Onyeka Okongwu,ATL,22,80,41,39,23.1,9.9,4.0,6.2,63.8,0.1,0.2,30.8,1.9,2.5,78.1,2.7,4.5,7.2,1.0,1.0,0.7,1.3,3.1,25.1,12.0,0.0,0.8
180,Jalen Suggs,ORL,21,53,20,33,23.5,9.9,3.5,8.4,41.9,1.2,3.8,32.7,1.6,2.2,72.3,1.0,2.0,3.0,2.9,1.8,1.3,0.5,2.3,21.5,0.0,0.0,-0.8
181,Shaedon Sharpe,POR,20,80,32,48,22.2,9.9,3.8,8.1,47.2,1.3,3.5,36.0,0.9,1.3,71.4,0.8,2.2,3.0,1.2,1.0,0.5,0.3,1.7,16.5,0.0,0.0,-3.7
183,Herbert Jones,NOP,24,66,31,35,29.6,9.8,3.6,7.6,46.9,0.8,2.5,33.5,1.9,2.4,76.4,1.5,2.6,4.1,2.5,1.3,1.6,0.6,3.2,23.7,0.0,0.0,2.3
184,Thomas Bryant,DEN,25,59,33,26,18.3,9.8,3.9,6.3,62.3,0.4,1.0,44.1,1.6,2.1,73.8,1.5,4.3,5.7,0.5,0.6,0.3,0.5,1.7,19.2,9.0,0.0,-1.6
185,Al Horford,BOS,36,63,44,19,30.5,9.8,3.6,7.6,47.6,2.3,5.2,44.6,0.2,0.3,71.4,1.2,5.0,6.2,3.0,0.6,0.5,1.0,1.9,25.5,7.0,0.0,4.9
186,Josh Hart,NYK,28,76,42,34,32.3,9.8,3.6,6.8,52.9,0.8,2.2,37.2,1.7,2.3,75.0,1.9,5.9,7.8,3.8,1.5,1.2,0.3,2.6,27.6,10.0,0.0,4.1
189,Coby White,CHI,23,74,37,37,23.4,9.7,3.6,8.0,44.3,1.7,4.6,37.2,0.8,0.9,87.1,0.2,2.6,2.9,2.8,1.0,0.7,0.1,1.6,18.7,1.0,0.0,1.9
190,Keita Bates-Diop,SAS,27,67,18,49,21.7,9.7,3.5,6.9,50.8,0.8,2.1,39.4,1.8,2.2,79.3,1.0,2.7,3.7,1.5,0.8,0.7,0.3,0.9,18.5,0.0,0.0,-4.0
191,Caleb Martin,MIA,27,71,38,33,29.3,9.6,3.6,7.7,46.4,1.2,3.3,35.6,1.3,1.6,80.5,1.2,3.6,4.8,1.6,1.1,1.0,0.4,2.0,21.1,2.0,0.0,-0.1
192,Isaiah Joe,OKC,23,73,36,37,19.1,9.5,3.1,7.0,44.1,2.2,5.4,40.9,1.1,1.4,82.0,0.4,2.0,2.4,1.2,0.5,0.7,0.1,1.4,15.9,0.0,0.0,2.9
193,Andrew Nembhard,IND,23,75,32,43,27.6,9.5,3.8,8.6,44.1,1.2,3.5,35.0,0.7,0.8,79.0,0.5,2.2,2.7,4.5,1.7,0.9,0.2,2.4,21.1,5.0,0.0,-3.5
194,Jalen Smith,IND,23,68,31,37,18.8,9.4,3.6,7.5,47.6,0.8,2.8,28.3,1.5,2.0,75.9,1.9,3.9,5.8,1.0,1.1,0.3,0.9,2.3,20.4,7.0,0.0,-1.4
195,Jalen McDaniels,PHI,25,80,31,49,23.9,9.4,3.5,7.7,45.5,1.0,2.9,33.2,1.5,1.7,84.1,0.8,3.5,4.3,1.6,1.2,1.0,0.4,2.6,20.3,3.0,0.0,-1.9
196,Gabe Vincent,MIA,26,68,37,31,25.9,9.4,3.4,8.3,40.2,1.7,5.1,33.4,1.0,1.1,87.2,0.4,1.7,2.1,2.5,1.4,0.9,0.1,2.3,17.3,0.0,0.0,-0.4
197,Donte DiVincenzo,GSW,26,72,42,30,26.3,9.4,3.3,7.5,43.5,2.1,5.3,39.7,0.8,1.0,81.7,1.1,3.4,4.5,3.5,1.6,1.3,0.1,1.8,23.0,4.0,0.0,1.7
198,Kyle Anderson,MIN,29,69,36,33,28.4,9.4,3.7,7.2,50.9,0.6,1.5,41.0,1.4,2.0,73.5,1.0,4.4,5.3,4.9,1.5,1.1,0.9,2.1,27.7,10.0,3.0,1.3
199,Chris Boucher,TOR,30,76,39,37,20.0,9.4,3.4,7.0,49.3,0.8,2.5,32.8,1.7,2.2,76.2,2.1,3.5,5.5,0.4,0.5,0.6,0.8,1.9,20.4,9.0,0.0,-0.2
200,Hamidou Diallo,DET,24,56,12,44,17.8,9.3,3.8,6.7,57.3,0.1,0.4,23.8,1.6,2.6,58.8,1.0,2.4,3.5,1.0,1.3,0.9,0.3,2.2,17.4,0.0,0.0,-0.3
201,Tari Eason,HOU,22,82,22,60,21.6,9.3,3.6,8.0,44.8,0.7,2.1,34.3,1.3,1.8,75.2,2.4,3.7,6.0,1.1,1.2,1.2,0.6,2.3,22.1,7.0,0.0,-1.9
202,Luke Kennard,MEM,26,59,37,22,22.3,9.3,3.2,6.5,49.2,2.3,4.6,49.4,0.6,0.7,94.9,0.3,2.4,2.7,1.5,0.8,0.5,0.1,1.4,15.9,0.0,0.0,3.6
203,Precious Achiuwa,TOR,23,55,30,25,20.7,9.2,3.6,7.3,48.5,0.5,2.0,26.9,1.6,2.3,70.2,1.8,4.1,6.0,0.9,1.1,0.6,0.5,1.9,20.0,10.0,0.0,-0.7
204,Seth Curry,BKN,32,61,37,24,19.8,9.2,3.4,7.4,46.3,1.5,3.8,40.5,0.8,0.9,92.7,0.2,1.4,1.6,1.6,0.8,0.6,0.1,1.6,14.9,0.0,0.0,-1.1
205,Walker Kessler,UTA,21,74,34,40,23.0,9.2,4.0,5.6,72.0,0.0,0.0,33.3,1.1,2.1,51.6,3.1,5.3,8.4,0.9,0.8,0.4,2.3,2.3,27.9,20.0,0.0,1.0
206,Deni Avdija,WAS,22,76,33,43,26.6,9.2,3.3,7.6,43.7,0.9,3.1,29.7,1.6,2.2,73.9,1.0,5.4,6.4,2.8,1.6,0.9,0.4,2.8,23.1,11.0,0.0,-0.7
207,Jalen Duren,DET,19,67,16,51,24.9,9.1,3.9,5.9,64.8,0.0,0.0,0.0,1.4,2.3,61.1,3.4,5.5,8.9,1.1,1.4,0.7,0.9,2.7,24.7,19.0,0.0,-4.2
208,Taurean Prince,MIN,29,54,31,23,22.1,9.1,3.3,7.0,46.7,1.4,3.6,38.1,1.2,1.4,84.4,0.3,2.2,2.4,1.6,1.3,0.5,0.3,2.3,15.5,0.0,0.0,0.0
210,Josh Green,DAL,22,60,27,33,25.7,9.1,3.4,6.4,53.7,1.1,2.8,40.2,1.1,1.6,72.3,0.9,2.1,3.0,1.7,1.2,0.7,0.1,2.6,16.5,1.0,0.0,1.3
211,Naji Marshall,NOP,25,77,40,37,23.3,9.1,3.2,7.4,43.3,0.9,2.8,30.3,1.8,2.3,78.9,0.6,3.0,3.6,2.5,1.3,0.7,0.2,1.5,18.5,0.0,0.0,0.1
212,Bol Bol,ORL,23,70,26,44,21.5,9.1,3.7,6.8,54.6,0.4,1.6,26.5,1.2,1.5,75.9,1.0,4.8,5.8,1.0,1.6,0.4,1.2,1.3,20.8,6.0,0.0,-2.1
213,Santi Aldama,MEM,22,77,47,30,21.8,9.0,3.2,6.8,47.0,1.2,3.5,35.3,1.4,1.9,75.0,1.1,3.7,4.8,1.3,0.8,0.6,0.6,1.9,19.6,4.0,0.0,1.2
214,Daniel Gafford,WAS,24,78,32,46,20.6,9.0,3.7,5.1,73.2,0.0,0.0,0.0,1.6,2.4,67.9,2.1,3.5,5.6,1.1,1.1,0.4,1.3,2.4,21.3,10.0,0.0,-1.1
215,Jose Alvarado,NOP,25,61,30,31,21.5,9.0,3.3,8.0,41.1,1.4,4.0,33.6,1.1,1.3,81.3,0.5,1.9,2.3,3.0,1.3,1.1,0.2,2.0,18.8,0.0,0.0,1.7
217,AJ Griffin,ATL,19,72,34,38,19.5,8.9,3.4,7.4,46.5,1.4,3.6,39.0,0.6,0.7,89.4,0.5,1.6,2.1,1.0,0.6,0.6,0.2,1.2,14.6,0.0,0.0,0.9
218,Royce O'Neale,BKN,29,76,42,34,31.7,8.8,3.0,7.8,38.6,2.1,5.5,38.9,0.7,0.9,72.5,0.7,4.3,5.1,3.7,1.5,0.9,0.6,3.1,23.5,4.0,1.0,1.0
219,Terance Mann,LAC,26,81,44,37,23.1,8.8,3.4,6.5,51.9,1.0,2.4,38.9,1.1,1.5,78.0,1.0,2.5,3.4,2.3,1.0,0.5,0.3,1.8,17.7,1.0,0.0,0.0
221,Dennis Smith Jr.,CHA,25,54,19,35,25.7,8.8,3.4,8.4,41.2,0.4,2.1,21.6,1.4,2.0,73.6,0.5,2.6,3.1,4.8,1.5,1.4,0.5,2.3,23.8,1.0,0.0,-1.3
223,Jordan Nwora,IND,24,62,36,26,19.2,8.7,3.1,7.2,43.6,1.4,3.4,40.8,1.1,1.4,79.1,0.8,2.9,3.7,1.4,1.1,0.4,0.2,1.2,16.1,1.0,0.0,-4.1
224,Cedi Osman,CLE,28,77,48,29,20.1,8.7,3.1,6.9,45.1,1.5,4.1,37.2,1.0,1.4,69.4,0.3,2.0,2.3,1.5,0.7,0.5,0.1,1.6,14.8,1.0,0.0,3.0
225,T.J. McConnell,IND,31,75,31,44,20.4,8.7,3.8,6.9,54.3,0.3,0.8,44.1,0.8,0.9,85.3,0.6,2.5,3.1,5.3,1.9,1.1,0.1,1.4,22.1,6.0,1.0,-0.8
228,Ayo Dosunmu,CHI,23,80,40,40,26.2,8.6,3.5,7.1,49.3,0.7,2.4,31.2,0.8,1.0,80.5,0.6,2.2,2.8,2.6,1.2,0.8,0.3,2.3,17.8,0.0,0.0,-1.0
229,Draymond Green,GSW,33,73,41,32,31.5,8.5,3.4,6.5,52.7,0.5,1.8,30.5,1.1,1.5,71.3,0.9,6.3,7.2,6.8,2.8,1.0,0.8,3.1,30.1,11.0,0.0,4.7
230,Shake Milton,PHI,26,76,52,24,20.6,8.4,3.2,6.6,47.9,0.7,1.9,37.8,1.3,1.5,85.3,0.5,2.0,2.5,3.2,1.2,0.3,0.2,1.6,16.4,3.0,0.0,1.9
231,Dorian Finney-Smith,BKN,30,66,31,35,30.4,8.3,3.0,7.6,39.1,1.7,5.1,33.7,0.7,0.9,76.3,1.7,3.1,4.8,1.5,0.9,0.8,0.5,2.2,19.6,2.0,0.0,-0.1
232,Terrence Ross,PHX,32,63,27,36,21.1,8.3,3.2,7.4,43.0,1.5,4.1,36.8,0.4,0.5,79.4,0.3,2.1,2.4,1.5,0.7,0.6,0.2,1.5,14.9,0.0,0.0,-1.2
234,Kevin Love,MIA,34,62,35,27,20.0,8.2,2.7,6.8,38.9,1.6,4.8,33.4,1.3,1.5,87.9,1.0,5.5,6.4,1.9,1.1,0.3,0.2,1.6,19.0,6.0,0.0,1.8
235,Nick Richards,CHA,25,65,21,44,18.7,8.2,3.0,4.8,62.9,0.0,0.0,100.0,2.1,2.8,74.9,2.3,4.1,6.4,0.6,0.9,0.2,1.1,2.4,19.6,14.0,0.0,-1.7
236,Georges Niang,PHI,29,78,51,27,19.4,8.2,2.8,6.4,44.2,2.0,4.9,40.1,0.5,0.6,86.7,0.2,2.1,2.4,1.0,0.7,0.4,0.2,1.9,13.5,0.0,0.0,1.0
237,Damion Lee,PHX,30,74,40,34,20.4,8.2,2.7,6.1,44.2,1.5,3.3,44.5,1.3,1.4,90.4,0.5,2.5,3.0,1.3,1.1,0.4,0.1,1.6,14.3,0.0,0.0,1.1
239,Grant Williams,BOS,24,79,55,24,25.9,8.1,2.7,6.0,45.4,1.5,3.7,39.5,1.2,1.5,77.0,1.1,3.5,4.6,1.7,1.0,0.5,0.4,2.4,17.8,3.0,0.0,2.6
240,Jevon Carter,MIL,27,81,57,24,22.4,8.0,3.0,7.0,42.3,1.8,4.2,42.1,0.4,0.5,81.6,0.4,2.1,2.5,2.4,1.0,0.8,0.4,2.0,17.2,1.0,0.0,0.8
241,Kenrich Williams,OKC,28,53,26,27,22.8,8.0,3.4,6.5,51.7,0.9,2.5,37.3,0.3,0.7,43.6,1.8,3.1,4.9,2.0,0.6,0.8,0.3,2.1,19.6,2.0,0.0,1.4
245,Jarred Vanderbilt,LAL,24,78,43,35,24.1,7.9,3.2,5.8,54.8,0.4,1.2,32.2,1.2,1.8,69.1,2.2,5.3,7.5,2.4,1.2,1.1,0.3,2.4,23.2,10.0,0.0,-1.3
246,Ochai Agbaji,UTA,23,59,29,30,20.5,7.9,2.8,6.5,42.7,1.4,3.9,35.5,0.9,1.2,81.2,0.7,1.3,2.1,1.1,0.7,0.3,0.3,1.7,13.0,0.0,0.0,-0.3
249,Jeff Green,DEN,36,56,33,23,19.5,7.8,2.9,5.9,48.8,0.5,1.9,28.8,1.6,2.1,74.4,0.7,1.9,2.6,1.2,0.8,0.3,0.3,1.8,13.8,0.0,0.0,-3.4
250,Tre Mann,OKC,22,67,31,36,17.7,7.7,2.9,7.5,39.3,1.2,3.8,31.5,0.6,0.8,76.4,0.4,1.9,2.3,1.8,0.9,0.6,0.2,1.5,14.5,1.0,1.0,0.9
251,Pat Connaughton,MIL,30,61,43,18,23.7,7.6,2.7,6.9,39.2,1.8,5.3,33.9,0.4,0.7,65.9,0.8,3.8,4.6,1.3,0.5,0.6,0.2,1.1,16.9,2.0,0.0,2.2
